Sex,Year,Source,MortalityType,Value,Target,Bridge
Male,2018,Total,Diseases of the circulatory system,1399365.584,Diseases of the circulatory system,Other
Male,2015,Total,Neoplasms,1398613.702,Neoplasms,Other
Male,2016,Total,Neoplasms,1392774.52,Neoplasms,Other
Male,2011,Total,Malignant neoplasms,1392322.52,Neoplasms,Other
Male,2012,Total,Malignant neoplasms,1391668.936,Neoplasms,Other
Male,2004,Total,Malignant neoplasms,1391246.282,Neoplasms,Other
Male,2005,Total,Neoplasms,1389417.129,Neoplasms,Other
Male,2000,Total,Neoplasms,1387241.057,Neoplasms,Other
Male,2013,Total,Malignant neoplasms,1384546.493,Neoplasms,Other
Male,2020,Total,Diseases of the circulatory system,1381918.799,Diseases of the circulatory system,Other
Total,2004,Total,Ischaemic heart diseases,1381149.824,Diseases of the circulatory system,Diseases of the circulatory system
Male,2007,Total,Malignant neoplasms,1377567.887,Neoplasms,Other
Female,2009,Total,Diseases of the circulatory system,1375513.935,Diseases of the circulatory system,Other
Male,2014,Total,Malignant neoplasms,1374144.071,Neoplasms,Other
Male,2008,Total,Malignant neoplasms,1369457.552,Neoplasms,Other
Male,2006,Total,Malignant neoplasms,1368020.015,Neoplasms,Other
Female,2010,Total,Diseases of the circulatory system,1366858.844,Diseases of the circulatory system,Other
Female,2006,Total,Diseases of the circulatory system,1366361.716,Diseases of the circulatory system,Other
Male,2015,Total,Malignant neoplasms,1353533.418,Neoplasms,Other
Female,2007,Total,Diseases of the circulatory system,1352853.826,Diseases of the circulatory system,Other
Male,2005,Total,Malignant neoplasms,1351809.289,Neoplasms,Other
Male,2000,Total,Malignant neoplasms,1351741.24,Neoplasms,Other
Male,2016,Total,Malignant neoplasms,1347524.388,Neoplasms,Other
Total,2005,Total,Ischaemic heart diseases,1332974.576,Diseases of the circulatory system,Diseases of the circulatory system
Female,2008,Total,Diseases of the circulatory system,1322835.041,Diseases of the circulatory system,Other
Female,2012,Total,Diseases of the circulatory system,1309834.013,Diseases of the circulatory system,Other
Female,2013,Total,Diseases of the circulatory system,1305316.069,Diseases of the circulatory system,Other
Female,2011,Total,Diseases of the circulatory system,1298328.99,Diseases of the circulatory system,Other
Total,2006,Total,Ischaemic heart diseases,1297745.176,Diseases of the circulatory system,Diseases of the circulatory system
Female,2015,Total,Diseases of the circulatory system,1296681.171,Diseases of the circulatory system,Other
Female,2014,Total,Diseases of the circulatory system,1295079.022,Diseases of the circulatory system,Other
Female,2016,Total,Diseases of the circulatory system,1265758.825,Diseases of the circulatory system,Other
Male,2017,Total,Neoplasms,1264724.576,Neoplasms,Other
Total,2007,Total,Ischaemic heart diseases,1263446.992,Diseases of the circulatory system,Diseases of the circulatory system
Total,2009,Total,Ischaemic heart diseases,1259372.816,Diseases of the circulatory system,Diseases of the circulatory system
Total,2010,Total,Ischaemic heart diseases,1241566.95,Diseases of the circulatory system,Diseases of the circulatory system
Total,2008,Total,Ischaemic heart diseases,1233391.496,Diseases of the circulatory system,Diseases of the circulatory system
Male,2017,Total,Malignant neoplasms,1220727.506,Neoplasms,Other
Total,2013,Total,Ischaemic heart diseases,1186114.18,Diseases of the circulatory system,Diseases of the circulatory system
Total,2011,Total,Ischaemic heart diseases,1178922.198,Diseases of the circulatory system,Diseases of the circulatory system
Total,2012,Total,Ischaemic heart diseases,1178019.195,Diseases of the circulatory system,Diseases of the circulatory system
Total,2014,Total,Ischaemic heart diseases,1171160.384,Diseases of the circulatory system,Diseases of the circulatory system
Female,2017,Total,Diseases of the circulatory system,1166319.429,Diseases of the circulatory system,Other
Male,2019,Total,Neoplasms,1159358.393,Neoplasms,Other
Total,2015,Total,Ischaemic heart diseases,1156873.524,Diseases of the circulatory system,Diseases of the circulatory system
Total,2016,Total,Ischaemic heart diseases,1145514.512,Diseases of the circulatory system,Diseases of the circulatory system
Male,2018,Total,Neoplasms,1125649.918,Neoplasms,Other
Male,2019,Total,Malignant neoplasms,1119185.114,Neoplasms,Other
Female,2019,Total,Diseases of the circulatory system,1089509.816,Diseases of the circulatory system,Other
Male,2018,Total,Malignant neoplasms,1087391.003,Neoplasms,Other
Total,2017,Total,Ischaemic heart diseases,1033169.297,Diseases of the circulatory system,Diseases of the circulatory system
Female,2018,Total,Diseases of the circulatory system,1033110.66,Diseases of the circulatory system,Other
Total,2019,Total,Ischaemic heart diseases,1022073.256,Diseases of the circulatory system,Diseases of the circulatory system
Male,2020,Total,Neoplasms,1011228.454,Neoplasms,Other
Total,2020,Total,Ischaemic heart diseases,993395.7266,Diseases of the circulatory system,Diseases of the circulatory system
Female,2020,Total,Diseases of the circulatory system,981076.0421,Diseases of the circulatory system,Other
Male,2020,Total,Malignant neoplasms,974556.6067,Neoplasms,Other
Total,2018,Total,Ischaemic heart diseases,966241.5156,Diseases of the circulatory system,Diseases of the circulatory system
Male,2001,Total,Ischaemic heart diseases,961609.2562,Diseases of the circulatory system,Diseases of the circulatory system
Total,2015,Total,Diseases of the respiratory system,945818.7324,Diseases of the respiratory system,Other
Male,2002,Total,Ischaemic heart diseases,945791.3247,Diseases of the circulatory system,Diseases of the circulatory system
Male,2003,Total,Ischaemic heart diseases,933408.3841,Diseases of the circulatory system,Diseases of the circulatory system
Total,2001,Total,Cerebrovascular diseases,930337.7796,Diseases of the circulatory system,Diseases of the circulatory system
Total,2016,Total,Diseases of the respiratory system,920344.1318,Diseases of the respiratory system,Other
Female,2014,Total,Neoplasms,918117.4565,Neoplasms,Other
Male,2000,Total,Ischaemic heart diseases,917247.579,Diseases of the circulatory system,Diseases of the circulatory system
Female,2010,Total,Neoplasms,917076.8606,Neoplasms,Other
Total,2002,Total,Cerebrovascular diseases,916671.1538,Diseases of the circulatory system,Diseases of the circulatory system
Female,2012,Total,Neoplasms,915301.3594,Neoplasms,Other
Female,2013,Total,Neoplasms,914598.4196,Neoplasms,Other
Female,2016,Total,Neoplasms,911999.8013,Neoplasms,Other
Female,2009,Total,Neoplasms,911992.2256,Neoplasms,Other
Total,2013,Total,Diseases of the respiratory system,909652.3847,Diseases of the respiratory system,Other
Female,2011,Total,Neoplasms,908669.4589,Neoplasms,Other
Female,2015,Total,Neoplasms,903814.8051,Neoplasms,Other
Female,2003,Total,Neoplasms,902316.3331,Neoplasms,Other
Female,2002,Total,Neoplasms,901018.0577,Neoplasms,Other
Total,2003,Total,Cerebrovascular diseases,900651.3064,Diseases of the circulatory system,Diseases of the circulatory system
Female,2001,Total,Neoplasms,900289.915,Neoplasms,Other
Total,2000,Total,Cerebrovascular diseases,900280.904,Diseases of the circulatory system,Diseases of the circulatory system
Total,2014,Total,Diseases of the respiratory system,897386.8687,Diseases of the respiratory system,Other
Total,2012,Total,Diseases of the respiratory system,893095.1705,Diseases of the respiratory system,Other
Total,2003,Total,Diseases of the respiratory system,890569.2905,Diseases of the respiratory system,Other
Female,2004,Total,Neoplasms,890373.4648,Neoplasms,Other
Female,2008,Total,Neoplasms,890201.7843,Neoplasms,Other
Female,2007,Total,Neoplasms,889525.1931,Neoplasms,Other
Female,2010,Total,Malignant neoplasms,888295.5366,Neoplasms,Other
Female,2014,Total,Malignant neoplasms,887071.509,Neoplasms,Other
Female,2012,Total,Malignant neoplasms,885487.4105,Neoplasms,Other
Female,2006,Total,Neoplasms,884479.4685,Neoplasms,Other
Female,2013,Total,Malignant neoplasms,884297.5895,Neoplasms,Other
Female,2009,Total,Malignant neoplasms,883987.0083,Neoplasms,Other
Total,2009,Total,Diseases of the respiratory system,883278.5258,Diseases of the respiratory system,Other
Total,2011,Total,Diseases of the respiratory system,881915.137,Diseases of the respiratory system,Other
Male,2004,Total,Ischaemic heart diseases,881508.6053,Diseases of the circulatory system,Diseases of the circulatory system
Female,2016,Total,Malignant neoplasms,880570.912,Neoplasms,Other
Female,2011,Total,Malignant neoplasms,879526.3663,Neoplasms,Other
Female,2017,Total,Neoplasms,878142.938,Neoplasms,Other
Total,2010,Total,Diseases of the respiratory system,875548.5609,Diseases of the respiratory system,Other
Female,2003,Total,Malignant neoplasms,875242.5166,Neoplasms,Other
Female,2002,Total,Malignant neoplasms,874992.6212,Neoplasms,Other
Female,2001,Total,Malignant neoplasms,873922.1994,Neoplasms,Other
Female,2005,Total,Neoplasms,873337.2696,Neoplasms,Other
Female,2015,Total,Malignant neoplasms,872941.9307,Neoplasms,Other
Female,2004,Total,Malignant neoplasms,864085.9085,Neoplasms,Other
Total,2005,Total,Diseases of the respiratory system,863728.1525,Diseases of the respiratory system,Other
Female,2008,Total,Malignant neoplasms,863076.5985,Neoplasms,Other
Female,2007,Total,Malignant neoplasms,862826.2534,Neoplasms,Other
Total,2002,Total,Diseases of the respiratory system,859881.0322,Diseases of the respiratory system,Other
Female,2006,Total,Malignant neoplasms,857752.3196,Neoplasms,Other
Total,2020,Total,Codes for special purposes: COVID-19,857003.9049,Other,Other
Total,2019,Total,Diseases of the respiratory system,853557.7243,Diseases of the respiratory system,Other
Total,2008,Total,Diseases of the respiratory system,849329.5203,Diseases of the respiratory system,Other
Total,2017,Total,Diseases of the respiratory system,848723.7769,Diseases of the respiratory system,Other
Female,2000,Total,Neoplasms,848396.2891,Neoplasms,Other
Female,2005,Total,Malignant neoplasms,847267.9436,Neoplasms,Other
Male,2005,Total,Ischaemic heart diseases,846622.7688,Diseases of the circulatory system,Diseases of the circulatory system
Female,2017,Total,Malignant neoplasms,845958.091,Neoplasms,Other
Total,2001,Total,Diseases of the respiratory system,844140.1791,Diseases of the respiratory system,Other
Total,2007,Total,Diseases of the respiratory system,836385.1567,Diseases of the respiratory system,Other
Total,2004,Total,Diseases of the respiratory system,833301.6235,Diseases of the respiratory system,Other
Male,2006,Total,Ischaemic heart diseases,831424.7106,Diseases of the circulatory system,Diseases of the circulatory system
Female,2000,Total,Malignant neoplasms,823350.0266,Neoplasms,Other
Total,2004,Total,Cerebrovascular diseases,822285.083,Diseases of the circulatory system,Diseases of the circulatory system
Total,2006,Total,Diseases of the respiratory system,821487.3574,Diseases of the respiratory system,Other
Total,2000,Total,Diseases of the respiratory system,817849.4302,Diseases of the respiratory system,Other
Male,2009,Total,Ischaemic heart diseases,816274.3279,Diseases of the circulatory system,Diseases of the circulatory system
Total,2018,Total,Diseases of the respiratory system,813536.913,Diseases of the respiratory system,Other
Male,2007,Total,Ischaemic heart diseases,812329.7837,Diseases of the circulatory system,Diseases of the circulatory system
Male,2010,Total,Ischaemic heart diseases,801162.8246,Diseases of the circulatory system,Diseases of the circulatory system
Male,2008,Total,Ischaemic heart diseases,792259.9554,Diseases of the circulatory system,Diseases of the circulatory system
Female,2019,Total,Neoplasms,777446.1262,Neoplasms,Other
Total,2005,Total,Cerebrovascular diseases,773857.4988,Diseases of the circulatory system,Diseases of the circulatory system
Male,2013,Total,Ischaemic heart diseases,769656.4057,Diseases of the circulatory system,Diseases of the circulatory system
Female,2018,Total,Neoplasms,768656.8855,Neoplasms,Other
Male,2011,Total,Ischaemic heart diseases,765798.1382,Diseases of the circulatory system,Diseases of the circulatory system
Male,2012,Total,Ischaemic heart diseases,763677.391,Diseases of the circulatory system,Diseases of the circulatory system
Male,2014,Total,Ischaemic heart diseases,756432.4758,Diseases of the circulatory system,Diseases of the circulatory system
Female,2019,Total,Malignant neoplasms,750018.2714,Neoplasms,Other
Male,2015,Total,Ischaemic heart diseases,749273.8465,Diseases of the circulatory system,Diseases of the circulatory system
Total,2006,Total,Cerebrovascular diseases,746812.4196,Diseases of the circulatory system,Diseases of the circulatory system
Male,2016,Total,Ischaemic heart diseases,742412.3235,Diseases of the circulatory system,Diseases of the circulatory system
Total,2009,Total,Cerebrovascular diseases,742211.8642,Diseases of the circulatory system,Diseases of the circulatory system
Female,2018,Total,Malignant neoplasms,741565.861,Neoplasms,Other
Total,2007,Total,Cerebrovascular diseases,734343.652,Diseases of the circulatory system,Diseases of the circulatory system
Total,2010,Total,Cerebrovascular diseases,730578.4111,Diseases of the circulatory system,Diseases of the circulatory system
Total,2001,Total,Acute myocardial infarction,721348.0491,Diseases of the circulatory system,Diseases of the circulatory system
Total,2020,Total,Diseases of the respiratory system,718655.9608,Diseases of the respiratory system,Other
Total,2008,Total,Cerebrovascular diseases,715792.146,Diseases of the circulatory system,Diseases of the circulatory system
Total,2002,Total,Acute myocardial infarction,707896.6587,Diseases of the circulatory system,Diseases of the circulatory system
Total,2000,Total,Acute myocardial infarction,697540.8589,Diseases of the circulatory system,Diseases of the circulatory system
Total,2003,Total,Acute myocardial infarction,693411.5078,Diseases of the circulatory system,Diseases of the circulatory system
Female,2020,Total,Neoplasms,690044.7934,Neoplasms,Other
Total,2011,Total,Cerebrovascular diseases,689084.7165,Diseases of the circulatory system,Diseases of the circulatory system
Total,2012,Total,Cerebrovascular diseases,678599.8783,Diseases of the circulatory system,Diseases of the circulatory system
Total,2013,Total,Cerebrovascular diseases,666621.7854,Diseases of the circulatory system,Diseases of the circulatory system
Male,2017,Total,Ischaemic heart diseases,665120.232,Diseases of the circulatory system,Diseases of the circulatory system
Female,2020,Total,Malignant neoplasms,664844.8681,Neoplasms,Other
Male,2019,Total,Ischaemic heart diseases,661631.5321,Diseases of the circulatory system,Diseases of the circulatory system
Male,2020,Total,Ischaemic heart diseases,654211.6275,Diseases of the circulatory system,Diseases of the circulatory system
Total,2014,Total,Cerebrovascular diseases,650938.3472,Diseases of the circulatory system,Diseases of the circulatory system
Total,2004,Total,Acute myocardial infarction,650491.7682,Diseases of the circulatory system,Diseases of the circulatory system
Total,2015,Total,Cerebrovascular diseases,644192.5493,Diseases of the circulatory system,Diseases of the circulatory system
Male,2018,Total,Ischaemic heart diseases,627963.9705,Diseases of the circulatory system,Diseases of the circulatory system
Total,2016,Total,Cerebrovascular diseases,623962.3118,Diseases of the circulatory system,Diseases of the circulatory system
Total,2005,Total,Acute myocardial infarction,618979.0248,Diseases of the circulatory system,Diseases of the circulatory system
Total,2006,Total,Acute myocardial infarction,605340.5826,Diseases of the circulatory system,Diseases of the circulatory system
Male,2015,Total,Diseases of the respiratory system,604911.7745,Diseases of the respiratory system,Other
Female,2001,Total,Ischaemic heart diseases,597566.8028,Diseases of the circulatory system,Diseases of the circulatory system
Male,2003,Total,Diseases of the respiratory system,595846.292,Diseases of the respiratory system,Other
Total,2009,Total,Acute myocardial infarction,595720.5395,Diseases of the circulatory system,Diseases of the circulatory system
Total,2010,Total,Acute myocardial infarction,595404.7057,Diseases of the circulatory system,Diseases of the circulatory system
Male,2013,Total,Diseases of the respiratory system,589525.8335,Diseases of the respiratory system,Other
Female,2002,Total,Ischaemic heart diseases,588532.3762,Diseases of the circulatory system,Diseases of the circulatory system
Male,2016,Total,Diseases of the respiratory system,587166.7041,Diseases of the respiratory system,Other
Male,2009,Total,Diseases of the respiratory system,585260.7369,Diseases of the respiratory system,Other
Male,2012,Total,Diseases of the respiratory system,585112.3218,Diseases of the respiratory system,Other
Female,2003,Total,Ischaemic heart diseases,584386.7599,Diseases of the circulatory system,Diseases of the circulatory system
Male,2011,Total,Diseases of the respiratory system,581302.7523,Diseases of the respiratory system,Other
Male,2002,Total,Diseases of the respiratory system,580244.3847,Diseases of the respiratory system,Other
Total,2016,Total,External causes of mortality,580200.3878,External causes of mortality,Other
Total,2007,Total,Acute myocardial infarction,578450.5642,Diseases of the circulatory system,Diseases of the circulatory system
Male,2014,Total,Diseases of the respiratory system,577225.6276,Diseases of the respiratory system,Other
Male,2010,Total,Diseases of the respiratory system,577211.304,Diseases of the respiratory system,Other
Female,2000,Total,Ischaemic heart diseases,576279.3433,Diseases of the circulatory system,Diseases of the circulatory system
Total,2014,Total,Acute myocardial infarction,574074.936,Diseases of the circulatory system,Diseases of the circulatory system
Total,2015,Total,Acute myocardial infarction,573669.5842,Diseases of the circulatory system,Diseases of the circulatory system
Male,2001,Total,Diseases of the respiratory system,572959.8746,Diseases of the respiratory system,Other
Total,2017,Total,External causes of mortality,571478.4675,External causes of mortality,Other
Total,2008,Total,Acute myocardial infarction,571462.7536,Diseases of the circulatory system,Diseases of the circulatory system
Total,2016,Total,Acute myocardial infarction,571045.4971,Diseases of the circulatory system,Diseases of the circulatory system
Total,2013,Total,Acute myocardial infarction,570068.7652,Diseases of the circulatory system,Diseases of the circulatory system
Total,2011,Total,External causes of mortality,568573.1821,External causes of mortality,Other
Male,2005,Total,Diseases of the respiratory system,567209.8618,Diseases of the respiratory system,Other
Total,2011,Total,Acute myocardial infarction,564490.4754,Diseases of the circulatory system,Diseases of the circulatory system
Male,2020,Total,Codes for special purposes: COVID-19,561543.8484,Other,Other
Total,2015,Total,External causes of mortality,559804.5884,External causes of mortality,Other
Male,2004,Total,Diseases of the respiratory system,559706.3075,Diseases of the respiratory system,Other
Total,2010,Total,External causes of mortality,559457.4187,External causes of mortality,Other
Male,2008,Total,Diseases of the respiratory system,559186.9754,Diseases of the respiratory system,Other
Male,2000,Total,Diseases of the respiratory system,558898.5094,Diseases of the respiratory system,Other
Male,2007,Total,Diseases of the respiratory system,556366.5813,Diseases of the respiratory system,Other
Total,2003,Total,External causes of mortality,555741.5627,External causes of mortality,Other
Total,2009,Total,External causes of mortality,555648.8686,External causes of mortality,Other
Total,2002,Total,External causes of mortality,555638.3404,External causes of mortality,Other
Total,2012,Total,Acute myocardial infarction,555552.1972,Diseases of the circulatory system,Diseases of the circulatory system
Total,2014,Total,External causes of mortality,553638.6738,External causes of mortality,Other
Total,2013,Total,External causes of mortality,553481.1012,External causes of mortality,Other
Total,2012,Total,External causes of mortality,552631.9866,External causes of mortality,Other
Total,2001,Total,External causes of mortality,552629.1668,External causes of mortality,Other
Total,2017,Total,Cerebrovascular diseases,548965.7344,Diseases of the circulatory system,Diseases of the circulatory system
Female,2004,Total,Ischaemic heart diseases,546696.1158,Diseases of the circulatory system,Diseases of the circulatory system
Male,2006,Total,Diseases of the respiratory system,546403.6396,Diseases of the respiratory system,Other
Total,2008,Total,External causes of mortality,542289.3726,External causes of mortality,Other
Total,2004,Total,External causes of mortality,541723.1252,External causes of mortality,Other
Total,2006,Total,External causes of mortality,540768.9187,External causes of mortality,Other
Total,2020,Total,Acute myocardial infarction,540623.6344,Diseases of the circulatory system,Diseases of the circulatory system
Total,2019,Total,External causes of mortality,539736.373,External causes of mortality,Other
Total,2005,Total,External causes of mortality,539481.0627,External causes of mortality,Other
Total,2007,Total,External causes of mortality,538471.2631,External causes of mortality,Other
Male,2019,Total,Diseases of the respiratory system,534766.946,Diseases of the respiratory system,Other
Total,2018,Total,External causes of mortality,532236.3521,External causes of mortality,Other
Total,2000,Total,External causes of mortality,532141.6426,External causes of mortality,Other
Female,2005,Total,Ischaemic heart diseases,529158.9447,Diseases of the circulatory system,Diseases of the circulatory system
Male,2017,Total,Diseases of the respiratory system,523442.6796,Diseases of the respiratory system,Other
Total,2020,Total,External causes of mortality,521337.2961,External causes of mortality,Other
Total,2019,Total,Cerebrovascular diseases,517893.8853,Diseases of the circulatory system,Diseases of the circulatory system
Total,2019,Total,Acute myocardial infarction,516102.5964,Diseases of the circulatory system,Diseases of the circulatory system
Female,2006,Total,Ischaemic heart diseases,509285.964,Diseases of the circulatory system,Diseases of the circulatory system
Male,2018,Total,Diseases of the respiratory system,506504.0741,Diseases of the respiratory system,Other
Total,2020,Total,"Endocrine, nutritional and metabolic diseases",501447.2043,Other,Other
Male,2001,Total,Cerebrovascular diseases,499814.8889,Diseases of the circulatory system,Diseases of the circulatory system
Female,2007,Total,Ischaemic heart diseases,493644.3916,Diseases of the circulatory system,Diseases of the circulatory system
