Sex,Year,Source,Target,Mortality Type,Value,Cause
Female,2007,Total,External Causes,Accidental poisoning,11667.75842,
Total,2008,Total,Other,"Symptoms, signs, ill-defined causes",294576.6531,
Female,2008,Total,External Causes,Accidents,108110.0859,
Female,2008,Total,Other,"Endocrine, nutritional and metabolic diseases",204548.6622,
Female,2008,Total,Other,Certain conditions originating in the perinatal period,14556.15628,
Female,2008,Total,External Causes,Accidental poisoning,12198.22681,
Total,2009,Total,Other,"Symptoms, signs, ill-defined causes",314174.3248,
Female,2009,Total,External Causes,Accidents,110029.4886,
Female,2009,Total,Other,"Endocrine, nutritional and metabolic diseases",215323.1992,
Female,2009,Total,Other,Certain conditions originating in the perinatal period,15784.95081,
Female,2009,Total,External Causes,Accidental poisoning,13004.7336,
Total,2010,Total,Other,"Symptoms, signs, ill-defined causes",317544.3602,
Female,2010,Total,External Causes,Accidents,112442.6307,
Female,2010,Total,Other,"Endocrine, nutritional and metabolic diseases",221079.0517,
Female,2010,Total,Other,Certain conditions originating in the perinatal period,14798.17149,
Female,2010,Total,External Causes,Accidental poisoning,13732.50975,
Total,2011,Total,Other,"Symptoms, signs, ill-defined causes",309956.2718,
Female,2011,Total,External Causes,Accidents,118383.6686,
Female,2011,Total,Other,"Endocrine, nutritional and metabolic diseases",215202.1965,
Female,2011,Total,Other,Certain conditions originating in the perinatal period,14614.16963,
Female,2011,Total,External Causes,Accidental poisoning,14914.80245,
Total,2012,Total,Other,"Symptoms, signs, ill-defined causes",317539.1892,
Female,2012,Total,External Causes,Accidents,113180.2504,
Female,2012,Total,Other,"Endocrine, nutritional and metabolic diseases",216812.6607,
Female,2012,Total,Other,Certain conditions originating in the perinatal period,15035.86697,
Female,2012,Total,External Causes,Accidental poisoning,15003.35953,
Total,2013,Total,Other,"Symptoms, signs, ill-defined causes",302952.9043,
Female,2013,Total,External Causes,Accidents,114544.3873,
Female,2013,Total,Other,"Endocrine, nutritional and metabolic diseases",218618.4904,
Female,2013,Total,Other,Certain conditions originating in the perinatal period,14746.02857,
Female,2013,Total,External Causes,Accidental poisoning,15921.73887,
Total,2014,Total,Other,"Symptoms, signs, ill-defined causes",288952.5608,
Female,2014,Total,External Causes,Accidents,116708.5557,
Female,2014,Total,Other,"Endocrine, nutritional and metabolic diseases",219003.5846,
Female,2014,Total,Other,Certain conditions originating in the perinatal period,15465.71603,
Female,2014,Total,External Causes,Accidental poisoning,17036.56221,
Total,2015,Total,Other,"Symptoms, signs, ill-defined causes",291705.7776,
Female,2015,Total,External Causes,Accidents,118488.2334,
Female,2015,Total,Other,"Endocrine, nutritional and metabolic diseases",225592.4112,
Female,2015,Total,Other,Certain conditions originating in the perinatal period,15328.21821,
Female,2015,Total,External Causes,Accidental poisoning,17945.15617,
Total,2016,Total,Other,"Symptoms, signs, ill-defined causes",297246.1233,
Female,2016,Total,External Causes,Accidents,122801.9494,
Female,2016,Total,Other,"Endocrine, nutritional and metabolic diseases",225946.1747,
Female,2016,Total,Other,Certain conditions originating in the perinatal period,15620.78649,
Female,2016,Total,External Causes,Accidental poisoning,20592.65061,
Total,2017,Total,Other,"Symptoms, signs, ill-defined causes",291549.1795,
Female,2017,Total,External Causes,Accidents,123123.7264,
Female,2017,Total,Other,"Endocrine, nutritional and metabolic diseases",214432.7043,
Female,2017,Total,Other,Certain conditions originating in the perinatal period,13649.44519,
Female,2017,Total,External Causes,Accidental poisoning,22235.47921,
Total,2018,Total,Other,"Symptoms, signs, ill-defined causes",260802.2372,
Female,2018,Total,External Causes,Accidents,106848.3963,
Female,2018,Total,Other,"Endocrine, nutritional and metabolic diseases",189467.0363,
Female,2018,Total,Other,Certain conditions originating in the perinatal period,12176.56922,
Female,2018,Total,External Causes,Accidental poisoning,20871.21964,
Total,2019,Total,Other,"Symptoms, signs, ill-defined causes",314229.3706,
Female,2019,Total,External Causes,Accidents,108377.1408,
Female,2019,Total,Other,"Endocrine, nutritional and metabolic diseases",202731.7083,
Female,2019,Total,Other,Certain conditions originating in the perinatal period,13313.34606,
Female,2019,Total,External Causes,Accidental poisoning,21058.82539,
Total,2020,Total,Other,"Symptoms, signs, ill-defined causes",280891.5576,
Female,2020,Total,External Causes,Accidents,102725.114,
Female,2020,Total,Other,"Endocrine, nutritional and metabolic diseases",223024.6999,
Female,2020,Total,Other,Certain conditions originating in the perinatal period,10431.57518,
Female,2020,Total,External Causes,Accidental poisoning,25218.49608,
Female,2000,Total,Other,Certain infectious and parasitic diseases,65151.09238,
Female,2000,Total,Other,Diseases of the genitourinary system,76955.31674,
Female,2001,Total,Other,Certain infectious and parasitic diseases,66721.74129,
Female,2001,Total,Other,Diseases of the genitourinary system,82306.54757,
Female,2002,Total,Other,Certain infectious and parasitic diseases,68468.60654,
Female,2002,Total,Other,Diseases of the genitourinary system,82927.28128,
Female,2000,Total,Cancers,Leukemia,26596.6678,Leukemia
Female,2000,Total,Other,Diseases of the circulatory system,1531981.009,
Female,2003,Total,Other,Certain infectious and parasitic diseases,71275.11922,
Female,2003,Total,Other,Diseases of the genitourinary system,85700.27787,
Female,2001,Total,Cancers,Leukemia,27955.25398,Leukemia
Female,2001,Total,Other,Diseases of the circulatory system,1578340.915,
Female,2004,Total,Other,Certain infectious and parasitic diseases,69270.49411,
Female,2004,Total,Other,Diseases of the genitourinary system,84325.38553,
Female,2002,Total,Cancers,Leukemia,27875.72083,Leukemia
Female,2002,Total,Other,Diseases of the circulatory system,1566634.005,
Female,2005,Total,Other,Certain infectious and parasitic diseases,71644.48387,
Female,2005,Total,Other,Diseases of the genitourinary system,86971.60195,
Female,2003,Total,Cancers,Leukemia,28301.70684,Leukemia
Female,2003,Total,Other,Diseases of the circulatory system,1562173.857,
Female,2006,Total,Other,Certain infectious and parasitic diseases,72497.05097,
Female,2006,Total,Other,Diseases of the genitourinary system,89437.77642,
Female,2004,Total,Cancers,Leukemia,27640.46317,Leukemia
Female,2004,Total,Other,Diseases of the circulatory system,1460733.989,
Female,2007,Total,Other,Certain infectious and parasitic diseases,74658.16411,
Female,2007,Total,Other,Diseases of the genitourinary system,91233.19816,
Female,2005,Total,Cancers,Leukemia,27259.10543,Leukemia
Female,2005,Total,Other,Diseases of the circulatory system,1417321.252,
Female,2008,Total,Other,Certain infectious and parasitic diseases,75912.63534,
Female,2008,Total,Other,Diseases of the genitourinary system,91427.33899,
Female,2006,Total,Cancers,Leukemia,27565.32574,Leukemia
Female,2006,Total,Other,Diseases of the circulatory system,1366361.716,
Female,2009,Total,Other,Certain infectious and parasitic diseases,77924.74479,
Female,2009,Total,Other,Diseases of the genitourinary system,97083.94528,
Female,2007,Total,Cancers,Leukemia,27625.56138,Leukemia
Female,2007,Total,Other,Diseases of the circulatory system,1352853.826,
Female,2010,Total,Other,Certain infectious and parasitic diseases,77746.44946,
Female,2010,Total,Other,Diseases of the genitourinary system,100733.3957,
Female,2008,Total,Cancers,Leukemia,27576.62868,Leukemia
Female,2008,Total,Other,Diseases of the circulatory system,1322835.041,
Female,2011,Total,Other,Certain infectious and parasitic diseases,79547.76272,
Female,2011,Total,Other,Diseases of the genitourinary system,96413.72538,
Female,2009,Total,Cancers,Leukemia,28766.65747,Leukemia
Female,2009,Total,Other,Diseases of the circulatory system,1375513.935,
Female,2012,Total,Other,Certain infectious and parasitic diseases,81200.65372,
Female,2012,Total,Other,Diseases of the genitourinary system,98773.79601,
Female,2010,Total,Cancers,Leukemia,28980.04487,Leukemia
Female,2010,Total,Other,Diseases of the circulatory system,1366858.844,
Female,2013,Total,Other,Certain infectious and parasitic diseases,81877.48851,
Female,2013,Total,Other,Diseases of the genitourinary system,98974.04445,
Female,2011,Total,Cancers,Leukemia,29123.85589,Leukemia
Female,2011,Total,Other,Diseases of the circulatory system,1298328.99,
Female,2014,Total,Other,Certain infectious and parasitic diseases,81030.9259,
Female,2014,Total,Other,Diseases of the genitourinary system,100997.8211,
Female,2012,Total,Cancers,Leukemia,29248.13273,Leukemia
Female,2012,Total,Other,Diseases of the circulatory system,1309834.013,
Female,2015,Total,Other,Certain infectious and parasitic diseases,83151.81233,
Female,2015,Total,Other,Diseases of the genitourinary system,105520.1063,
Female,2013,Total,Cancers,Leukemia,29216.19416,Leukemia
Female,2013,Total,Other,Diseases of the circulatory system,1305316.069,
Female,2016,Total,Other,Certain infectious and parasitic diseases,79274.1076,
Female,2016,Total,Other,Diseases of the genitourinary system,105477.5153,
Female,2014,Total,Cancers,Leukemia,29275.8263,Leukemia
Female,2014,Total,Other,Diseases of the circulatory system,1295079.022,
Female,2017,Total,Other,Certain infectious and parasitic diseases,74949.95202,
Female,2017,Total,Other,Diseases of the genitourinary system,96521.44205,
Female,2015,Total,Cancers,Leukemia,28129.31299,Leukemia
Female,2015,Total,Other,Diseases of the circulatory system,1296681.171,
Male,2000,Total,Cancers,Malignant neoplasms of bladder,46045.81994,Malignant neoplasms of bladder
Male,2000,Total,Other,Diseases of the nervous system,115027.5926,
Female,2016,Total,Cancers,Leukemia,28822.80315,Leukemia
Female,2016,Total,Other,Diseases of the circulatory system,1265758.825,
Male,2001,Total,Cancers,Malignant neoplasms of bladder,49459.80018,Malignant neoplasms of bladder
Male,2001,Total,Other,Diseases of the nervous system,127853.1039,
Female,2017,Total,Cancers,Leukemia,27569.49288,Leukemia
Female,2017,Total,Other,Diseases of the circulatory system,1166319.429,
Male,2002,Total,Cancers,Malignant neoplasms of bladder,49603.80298,Malignant neoplasms of bladder
Male,2002,Total,Other,Diseases of the nervous system,133103.4507,
Female,2018,Total,Cancers,Leukemia,23567.42117,Leukemia
Female,2018,Total,Other,Diseases of the circulatory system,1033110.66,
Male,2003,Total,Cancers,Malignant neoplasms of bladder,50227.06508,Malignant neoplasms of bladder
Male,2003,Total,Other,Diseases of the nervous system,141090.3437,
Female,2019,Total,Cancers,Leukemia,23975.64335,Leukemia
Female,2019,Total,Other,Diseases of the circulatory system,1089509.816,
Male,2004,Total,Cancers,Malignant neoplasms of bladder,49575.46113,Malignant neoplasms of bladder
Male,2004,Total,Other,Diseases of the nervous system,136418.5404,
Male,2005,Total,Cancers,Malignant neoplasms of bladder,48322.55817,Malignant neoplasms of bladder
Male,2005,Total,Other,Diseases of the nervous system,141748.5869,
Male,2006,Total,Cancers,Malignant neoplasms of bladder,48726.40534,Malignant neoplasms of bladder
Male,2006,Total,Other,Diseases of the nervous system,146970.571,
Male,2007,Total,Cancers,Malignant neoplasms of bladder,49837.58618,Malignant neoplasms of bladder
Male,2007,Total,Other,Diseases of the nervous system,152329.7484,
Female,2000,Total,Other,Diseases of the nervous system,99524.24951,
Male,2008,Total,Cancers,Malignant neoplasms of bladder,49428.95337,Malignant neoplasms of bladder
Male,2008,Total,Other,Diseases of the nervous system,158117.1933,
Female,2001,Total,Other,Diseases of the nervous system,111103.576,
Male,2009,Total,Cancers,Malignant neoplasms of bladder,51674.82524,Malignant neoplasms of bladder
Male,2009,Total,Other,Diseases of the nervous system,168678.5667,
Female,2002,Total,Other,Diseases of the nervous system,118745.9013,
Male,2010,Total,Cancers,Malignant neoplasms of bladder,52826.09398,Malignant neoplasms of bladder
Male,2010,Total,Other,Diseases of the nervous system,175163.4128,
Female,2003,Total,Other,Diseases of the nervous system,128051.3244,
Male,2011,Total,Cancers,Malignant neoplasms of bladder,52177.52153,Malignant neoplasms of bladder
Male,2011,Total,Other,Diseases of the nervous system,177921.4497,
Female,2004,Total,Other,Diseases of the nervous system,124107.5578,
Male,2012,Total,Cancers,Malignant neoplasms of bladder,52640.67752,Malignant neoplasms of bladder
Male,2012,Total,Other,Diseases of the nervous system,187159.809,
Female,2005,Total,Other,Diseases of the nervous system,129905.9444,
Male,2013,Total,Cancers,Malignant neoplasms of bladder,53036.03367,Malignant neoplasms of bladder
Male,2013,Total,Other,Diseases of the nervous system,192846.5113,
Female,2006,Total,Other,Diseases of the nervous system,132734.9301,
Male,2014,Total,Cancers,Malignant neoplasms of bladder,52180.3649,Malignant neoplasms of bladder
Male,2014,Total,Other,Diseases of the nervous system,199167.8466,
Female,2007,Total,Other,Diseases of the nervous system,138288.8205,
Male,2015,Total,Cancers,Malignant neoplasms of bladder,52330.50023,Malignant neoplasms of bladder
Male,2015,Total,Other,Diseases of the nervous system,216262.1677,
Female,2008,Total,Other,Diseases of the nervous system,144951.1955,
Male,2016,Total,Cancers,Malignant neoplasms of bladder,52808.45288,Malignant neoplasms of bladder
Male,2016,Total,Other,Diseases of the nervous system,223494.3764,
Female,2009,Total,Other,Diseases of the nervous system,150639.6734,
Male,2017,Total,Cancers,Malignant neoplasms of bladder,47251.48824,Malignant neoplasms of bladder
Male,2017,Total,Other,Diseases of the nervous system,210870.9305,
Female,2010,Total,Other,Diseases of the nervous system,159115.325,
Male,2018,Total,Cancers,Malignant neoplasms of bladder,40550.72314,Malignant neoplasms of bladder
Male,2018,Total,Other,Diseases of the nervous system,200986.1536,
Female,2011,Total,Other,Diseases of the nervous system,161940.4587,
Male,2019,Total,Cancers,Malignant neoplasms of bladder,42379.53621,Malignant neoplasms of bladder
Male,2019,Total,Other,Diseases of the nervous system,215357.0589,
Female,2012,Total,Other,Diseases of the nervous system,172216.9583,
Male,2020,Total,Cancers,Malignant neoplasms of bladder,36723.39709,Malignant neoplasms of bladder
Male,2020,Total,Other,Diseases of the nervous system,203260.7693,
Female,2013,Total,Other,Diseases of the nervous system,177102.2814,
Male,2021,Total,Cancers,Malignant neoplasms of bladder,4855.667256,Malignant neoplasms of bladder
Male,2021,Total,Other,Diseases of the nervous system,16501.80537,
Female,2014,Total,Other,Diseases of the nervous system,187005.0647,
Total,2000,Total,External Causes,Transport Accidents,134162.1738,
Female,2015,Total,Other,Diseases of the nervous system,202374.4574,
Total,2001,Total,External Causes,Transport Accidents,132176.8489,
Female,2016,Total,Other,Diseases of the nervous system,212318.5079,
Total,2002,Total,External Causes,Transport Accidents,131289.2317,
Female,2017,Total,Other,Diseases of the nervous system,213807.5484,
Total,2003,Total,External Causes,Transport Accidents,127702.9246,
Female,2018,Total,Other,Diseases of the nervous system,192280.1529,
Total,2004,Total,External Causes,Transport Accidents,122254.5783,
Female,2019,Total,Other,Diseases of the nervous system,206366.1459,
Total,2005,Total,External Causes,Transport Accidents,119651.6151,
Female,2020,Total,Other,Diseases of the nervous system,198719.0876,
Total,2006,Total,External Causes,Transport Accidents,117380.7699,
Total,2007,Total,External Causes,Transport Accidents,113806.3194,
Total,2008,Total,External Causes,Transport Accidents,108665.7256,
Total,2000,Total,Other,Certain infectious and parasitic diseases,163572.7902,
Total,2000,Total,Cancers,Malignant neoplasms of bladder,50598.84624,Malignant neoplasms of bladder
Total,2009,Total,External Causes,Transport Accidents,106319.9325,
Total,2001,Total,Other,Certain infectious and parasitic diseases,166508.9079,
Total,2001,Total,Cancers,Malignant neoplasms of bladder,55085.40067,Malignant neoplasms of bladder
Total,2010,Total,External Causes,Transport Accidents,101209.6621,
Total,2002,Total,Other,Certain infectious and parasitic diseases,170177.5339,
Total,2002,Total,Cancers,Malignant neoplasms of bladder,55335.73511,Malignant neoplasms of bladder
Total,2011,Total,External Causes,Transport Accidents,98250.63928,
Total,2003,Total,Other,Certain infectious and parasitic diseases,174862.9877,
Total,2003,Total,Cancers,Malignant neoplasms of bladder,55555.57844,Malignant neoplasms of bladder
Total,2012,Total,External Causes,Transport Accidents,97107.0471,
Total,2004,Total,Other,Certain infectious and parasitic diseases,168891.6755,
Total,2004,Total,Cancers,Malignant neoplasms of bladder,55299.89082,Malignant neoplasms of bladder
Total,2013,Total,External Causes,Transport Accidents,95347.03295,
Total,2005,Total,Other,Certain infectious and parasitic diseases,172871.8135,
Total,2005,Total,Cancers,Malignant neoplasms of bladder,54159.86048,Malignant neoplasms of bladder
Total,2014,Total,External Causes,Transport Accidents,94544.2898,
Total,2006,Total,Other,Certain infectious and parasitic diseases,174516.1784,
Total,2006,Total,Cancers,Malignant neoplasms of bladder,54675.37912,Malignant neoplasms of bladder
Total,2015,Total,External Causes,Transport Accidents,96218.32447,
Total,2007,Total,Other,Certain infectious and parasitic diseases,178313.2206,
Total,2007,Total,Cancers,Malignant neoplasms of bladder,56154.97787,Malignant neoplasms of bladder
Total,2016,Total,External Causes,Transport Accidents,98120.79425,
Total,2008,Total,Other,Certain infectious and parasitic diseases,179724.885,
Total,2008,Total,Cancers,Malignant neoplasms of bladder,56062.42232,Malignant neoplasms of bladder
Total,2017,Total,External Causes,Transport Accidents,88972.41712,
Total,2009,Total,Other,Certain infectious and parasitic diseases,185325.0063,
Total,2009,Total,Cancers,Malignant neoplasms of bladder,57857.90375,Malignant neoplasms of bladder
Total,2018,Total,External Causes,Transport Accidents,81834.24337,
Total,2010,Total,Other,Certain infectious and parasitic diseases,183814.5505,
Total,2010,Total,Cancers,Malignant neoplasms of bladder,59131.7491,Malignant neoplasms of bladder
Total,2019,Total,External Causes,Transport Accidents,84051.46764,
Total,2011,Total,Other,Certain infectious and parasitic diseases,186317.1532,
Total,2011,Total,Cancers,Malignant neoplasms of bladder,59022.50214,Malignant neoplasms of bladder
Total,2020,Total,External Causes,Transport Accidents,74159.67357,
Total,2012,Total,Other,Certain infectious and parasitic diseases,189289.9314,
Total,2012,Total,Cancers,Malignant neoplasms of bladder,59349.66332,Malignant neoplasms of bladder
Total,2021,Total,External Causes,Transport Accidents,3898.548035,
Total,2013,Total,Other,Certain infectious and parasitic diseases,190916.1665,
Total,2013,Total,Cancers,Malignant neoplasms of bladder,59737.55501,Malignant neoplasms of bladder
Male,2000,Total,Other,Peptic ulcer,20043.61091,
Male,2000,Total,Respiratory System,Chronic obstructive pulmonary diseases,234445.2767,
Total,2014,Total,Other,Certain infectious and parasitic diseases,188094.9206,
Total,2014,Total,Cancers,Malignant neoplasms of bladder,59592.1823,Malignant neoplasms of bladder
Male,2001,Total,Other,Peptic ulcer,21131.76812,
Male,2001,Total,Respiratory System,Chronic obstructive pulmonary diseases,245101.2627,
Total,2015,Total,Other,Certain infectious and parasitic diseases,193534.8398,
Total,2015,Total,Cancers,Malignant neoplasms of bladder,59047.22359,Malignant neoplasms of bladder
Male,2002,Total,Other,Peptic ulcer,20723.29838,
Male,2002,Total,Respiratory System,Chronic obstructive pulmonary diseases,249080.1827,
Total,2016,Total,Other,Certain infectious and parasitic diseases,184272.173,
Total,2016,Total,Cancers,Malignant neoplasms of bladder,60225.32415,Malignant neoplasms of bladder
Male,2003,Total,Other,Peptic ulcer,19731.73316,
Male,2003,Total,Respiratory System,Chronic obstructive pulmonary diseases,257587.6885,
Total,2017,Total,Other,Certain infectious and parasitic diseases,168274.5397,
Total,2017,Total,Cancers,Malignant neoplasms of bladder,55700.471,Malignant neoplasms of bladder
Male,2004,Total,Other,Peptic ulcer,18315.73381,
Male,2004,Total,Respiratory System,Chronic obstructive pulmonary diseases,240971.3856,
Total,2018,Total,Other,Certain infectious and parasitic diseases,153716.8326,
Total,2018,Total,Cancers,Malignant neoplasms of bladder,47506.50108,Malignant neoplasms of bladder
Male,2005,Total,Other,Peptic ulcer,17134.30308,
Male,2005,Total,Respiratory System,Chronic obstructive pulmonary diseases,241401.7943,
Total,2019,Total,Other,Certain infectious and parasitic diseases,163494.9316,
Total,2019,Total,Cancers,Malignant neoplasms of bladder,49233.60233,Malignant neoplasms of bladder
Male,2006,Total,Other,Peptic ulcer,16847.12069,
Male,2006,Total,Respiratory System,Chronic obstructive pulmonary diseases,234077.8581,
Total,2020,Total,Other,Certain infectious and parasitic diseases,137256.4777,
Total,2020,Total,Cancers,Malignant neoplasms of bladder,42735.03135,Malignant neoplasms of bladder
Male,2007,Total,Other,Peptic ulcer,15963.16644,
Male,2007,Total,Respiratory System,Chronic obstructive pulmonary diseases,240257.454,
Male,2008,Total,Other,Peptic ulcer,15713.26838,
Male,2008,Total,Respiratory System,Chronic obstructive pulmonary diseases,244130.676,
Male,2009,Total,Other,Peptic ulcer,15283.86472,
Male,2009,Total,Respiratory System,Chronic obstructive pulmonary diseases,263820.6535,
Male,2010,Total,Other,Peptic ulcer,14620.20458,
Male,2010,Total,Respiratory System,Chronic obstructive pulmonary diseases,257546.8043,
Male,2011,Total,Other,Peptic ulcer,14069.27381,
Male,2011,Total,Respiratory System,Chronic obstructive pulmonary diseases,261424.9252,
Male,2012,Total,Other,Peptic ulcer,13920.95781,
Male,2012,Total,Respiratory System,Chronic obstructive pulmonary diseases,258243.3861,
Male,2013,Total,Other,Peptic ulcer,13759.95437,
Male,2013,Total,Respiratory System,Chronic obstructive pulmonary diseases,261602.9939,
Male,2014,Total,Other,Peptic ulcer,13166.40578,
Male,2014,Total,Respiratory System,Chronic obstructive pulmonary diseases,252967.2384,
Male,2015,Total,Other,Peptic ulcer,13060.24614,
Male,2015,Total,Respiratory System,Chronic obstructive pulmonary diseases,260830.8693,
Male,2016,Total,Other,Peptic ulcer,13145.97774,
Male,2016,Total,Respiratory System,Chronic obstructive pulmonary diseases,252155.2325,
Male,2017,Total,Other,Peptic ulcer,12184.05541,
Male,2017,Total,Respiratory System,Chronic obstructive pulmonary diseases,218612.2675,
Male,2018,Total,Other,Peptic ulcer,11914.91325,
Male,2018,Total,Respiratory System,Chronic obstructive pulmonary diseases,201690.2284,
Male,2019,Total,Other,Peptic ulcer,12035.76233,
Male,2019,Total,Respiratory System,Chronic obstructive pulmonary diseases,219650.5908,
Male,2020,Total,Other,Peptic ulcer,11855.62707,
Male,2020,Total,Respiratory System,Chronic obstructive pulmonary diseases,174145.1382,
Female,2000,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",124188.2939,"Malignant neoplasms of trachea, bronchus, lung"
Female,2001,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",134989.7294,"Malignant neoplasms of trachea, bronchus, lung"
Female,2002,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",138719.2837,"Malignant neoplasms of trachea, bronchus, lung"
Female,2003,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",139737.0646,"Malignant neoplasms of trachea, bronchus, lung"
Female,2004,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",141188.7027,"Malignant neoplasms of trachea, bronchus, lung"
Female,2005,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",141149.0565,"Malignant neoplasms of trachea, bronchus, lung"
Female,2006,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",145273.2208,"Malignant neoplasms of trachea, bronchus, lung"
Female,2007,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",147928.1952,"Malignant neoplasms of trachea, bronchus, lung"
Female,2008,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",148929.8681,"Malignant neoplasms of trachea, bronchus, lung"
Female,2009,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",152525.1125,"Malignant neoplasms of trachea, bronchus, lung"
Female,2010,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",154528.111,"Malignant neoplasms of trachea, bronchus, lung"
Female,2011,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",154235.3803,"Malignant neoplasms of trachea, bronchus, lung"
Female,2012,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",156081.2846,"Malignant neoplasms of trachea, bronchus, lung"
Female,2013,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",156598.3875,"Malignant neoplasms of trachea, bronchus, lung"
Female,2014,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",158288.2933,"Malignant neoplasms of trachea, bronchus, lung"
Female,2015,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",155134.3572,"Malignant neoplasms of trachea, bronchus, lung"
Female,2016,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",153978.5958,"Malignant neoplasms of trachea, bronchus, lung"
Female,2017,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",146983.4848,"Malignant neoplasms of trachea, bronchus, lung"
Female,2018,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",131630.1477,"Malignant neoplasms of trachea, bronchus, lung"
Female,2019,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",130298.3955,"Malignant neoplasms of trachea, bronchus, lung"
Female,2020,Total,Cancers,"Malignant neoplasms of trachea, bronchus, lung",112778.1198,"Malignant neoplasms of trachea, bronchus, lung"
Total,2000,Total,Respiratory System,Influenza,10201.77444,
Total,2000,Total,External Causes,Intentional self-harm,114407.2588,
Total,2001,Total,Respiratory System,Influenza,2417.255002,
Total,2001,Total,External Causes,Intentional self-harm,118201.3304,
Total,2002,Total,Respiratory System,Influenza,3740.802741,
Total,2002,Total,External Causes,Intentional self-harm,121224.1843,
Total,2003,Total,Respiratory System,Influenza,5803.681003,
Total,2003,Total,External Causes,Intentional self-harm,125143.3491,
Total,2004,Total,Respiratory System,Influenza,3626.71066,
Total,2004,Total,External Causes,Intentional self-harm,123374.2908,
Total,2005,Total,Respiratory System,Influenza,7566.836802,
Total,2005,Total,External Causes,Intentional self-harm,121450.3556,
Total,2006,Total,Respiratory System,Influenza,2293.652166,
Total,2006,Total,External Causes,Intentional self-harm,119292.2434,
Total,2007,Total,Respiratory System,Influenza,2398.576247,
